Scraped Date,Job Title,Job Description,Location,Additional Locations,Posted Date,Job ID,Remote Type,Application URL
2026-02-27,"Product Owner, Insurance","As a Product Owner, Financial Protection and Retirement Services (FPRS) , you will be responsible for translating the product vision and strategy into actionable tasks, ensuring alignment with customer needs and organizational goals. The Product Owner role involves close collaboration with various stakeholders to clarify requirements, prioritize tasks, and maintain up-to-date product documentation. The Product Owner will track progress to ensure timely delivery, participate in Agile ceremonies, and continuously learn Agile product management practices under the guidance of a senior Product Owner. You will Develop and manage the product backlog, ensuring it aligns with the overall product vision and strategy Collaborate with cross-functional teams to gather and refine requirements, ensuring they are well-documented and prioritized Maintain clear and up-to-date product documentation, including user stories, acceptance criteria, and meeting notes Monitor the progress of product development, ensuring that features are ready for sprints and delivery timelines are met Participate in Agile ceremonies, contributing to the continuous improvement of Agile practices within the team Work closely with stakeholders to ensure that the product meets customer needs and business objectives Support the team in understanding and implementing Agile product management fundamentals and best practices May lead projects or project steps within a broader project You have College degree preferred or equivalent experience Experience in product management or a related field Proven ability to develop and manage product backlogs, ensuring alignment with product vision and strategy Strong collaboration skills with cross-functional teams to gather and refine requirements Excellent documentation skills to maintain clear and up-to-date product documentation, including user stories and acceptance criteria Familiarity with Agile methodologies and participation in Agile ceremonies Strong communication skills to work closely with stakeholders and ensure the product meets customer needs and business objectives Ability to support the team in understanding and implementing Agile product management fundamentals and best practices Required skills: Agile Facilitation Product Document Requirements Management Root Cause Analysis (RCA) Scrum (Agile) LOCATION This is a hybrid position requiring 3 days a week in a Guardian office and will require occasional travel. Salary Range: $79,310.00 - $130,295.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",Pittsfield,Bethlehem,2026-02-24,R000108663,Hybrid - In office 3 days per week,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Pittsfield/Product-Owner--Insurance_R000108663
2026-02-27,Annuity Specialist - Hybrid,"This position provides advanced annuity expertise and sales support to internal Financial Representatives (FRs) and Wealth Management Consultants (WMC/AWMCs), while also supporting the firm’s third‑party annuity distribution strategy through direct collaboration with Independent Marketing Organization (IMO) partners . In addition to internal field support, the Hybrid Annuity Specialist acts as a wholesaler to external wholesalers , delivering product guidance, case support, and training to strengthen third‑party distribution and expand market reach. You will Key Responsibilities Internal Field & Sales Support Serve as a subject matter expert on Park Avenue Securities’ approved annuity platform, including Fixed Indexed, Variable, and Registered Index Linked Annuities. Additionally, provide deep subject matter expertise on GIAC non‑registered annuity contracts, including SPIA, DIA, and MYGA solutions, supporting advanced case design and income‑planning strategies. Provide consultative product support and solutioning via phone and virtual meetings to registered Financial Representatives. Support complex and large annuity cases, including in‑depth analysis, design, and proposal development. Analyze FR books of business and assist with segmentation to identify annuity opportunities. Deliver tailored annuity recommendations based on individual client needs. Partner with Guardian Annuity wholesalers and Park Avenue Securities WMCs/AWMCs to promote annuity business growth across assigned territories. Collaborate with select offices to organize and conduct annuity sales meetings, boot camps, and annuity symposiums in partnership with Guardian and external annuity vendors. Meet established performance standards, including high‑volume phone consultations and quality assurance benchmarks. Third‑Party (IMO) Wholesaling Engage directly with Independent Marketing Organization (IMO) partners to support third‑party annuity distribution initiatives. Act as a wholesaler to external wholesalers by providing expert guidance on annuity products, positioning, and case design. Support IMO sales efforts through training, product education, and consultative case support. Collaborate with internal and external stakeholders to expand market reach and drive annuity growth through third‑party channels. Role Expectations Take ownership of daily responsibilities while balancing reactive case support with proactive business development. Effectively manage multiple priorities, phone calls, and field interactions while focusing on highest‑value activities. Embrace change, technology enhancements, and evolving capabilities within GIAC & Park Avenue Securities. Operate effectively in a fast‑paced, dynamic environment with a strong client‑first mindset. You have Qualifications Desire to drive results and annuity sales growth. Broad‑based industry and product knowledge with deep annuity expertise. Strong consultative, communication, and relationship‑management skills. Excellent organizational and time‑management skills. Experience in annuity sales desk support, internal wholesaling, financial retail sales, or field wholesaling preferred. Experience delivering training and presenting to small and large groups. Thorough understanding of annuity contracts including SPIA, DIA, Fixed, Fixed Indexed, Variable, and Registered Index Linked Annuities. Strong technical skills, including MS Office, CRM systems, and proposal software. Professional, confident phone presence with the ability to build strong relationships with the Field. Licensing / Credentials Series 6 or Series 7 required Life insurance license required Advanced designations (CFP®, ChFC®, CLU®, CRPC®) a plus Bachelor’s degree or equivalent work experience required. 3–5 years of experience within the financial services industry. Salary Range: $90,000- $105,000 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday",Remote - United States,,2026-02-23,R000108675,Fully Remote,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Remote---United-States/Annuity-Specialist---Hybrid_R000108675
2026-02-27,Wealth Management Agency Operations Specialist,"As a Wealth Management Agency Operations Specialist, you will support Guardian firms with submitting new business and servicing wealth management accounts. You will Partner with firms and Financial  Advisors to onboard new brokerage and advisory clients Process new account opening, funding, and annuity purchase requests Assist with asset movements, like transfers, wires, checks, journals, and setting up standing ACH instructions Monitor an agency’s book of business through management of the firm’s work basket and proactive alerts Act as point of contact for agency operational issues You have College Degree or relevant work experience Strong retirement and wealth management knowledge Must be able to work independently and as part of a team Must have background in the financial services industry in a service, operational, or sales support role Experience with Pershing’s NetX360, Wove performance reporting, and Envestnet Portfolio Management system Must be detail oriented and possess excellent time management skills Must understand broker dealer systems for account opening, asset movements, and order entry Must be proficient with MS Office programs Salary Range: $59,110.00 - $88,660.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",Bethlehem,,2026-02-23,R000108366,Hybrid - In office 3 days per week,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Bethlehem/Wealth-Management-Agency-Operations-Specialist_R000108366
2026-02-27,,,,,,,,
2026-02-27,Automation Quality Lead Engineer,"Job Description: Job Description: We are seeking a skilled and experienced Insurance Domain Techno Automation QE Lead Engineer to join our team. The ideal candidate will have a strong understanding of software testing methodologies coupled with expertise in insurance industry processes, and products. As a Test Automation Lead you will collaborate closely with business analysts, developers, and other stakeholders to ensure the quality and reliability of insurance software systems using manual and automation testing. Your responsibilities will include designing, executing, and documenting test cases, identifying defects, and verifying fixes. You will also participate in requirement analysis, contribute to test planning activities, and support user acceptance testing. Additionally, you will be responsible for ensuring compliance with industry standards and regulatory requirements. The role requires excellent communication skills, automation skills (selenium & Java), attention to detail, and the ability to work effectively in a dynamic, fast-paced environment. You will be responsible for leading the end to end QE efforts for the project and need to mentor and coach the QE team, to ensure the productivity. Key Responsibilities: Collaborate with stakeholders to understand business requirements and functional specifications. Understand and create reusable utilities and libraries at the framework level. Understand the existing automation framework code and then build on top of it, as per the new enhancements. Deep practical knowledge and ability to work with automation tools like Selenium (with Java), Rest Assured & Postman is a must. Understand the existing API automation framework and then build on top of it, as per the new enhancements. Good working experience in XML and Database testing. Integrate automated tests into CI/CD pipelines (e.g., Jenkins, GitLab CI, Azure DevOps). Design and execute test cases based on business requirements and user stories. Able to work on the testing of sprint stories and figure out regression test cases out of them, which can be automated. Performing all applicable SDLC activities for the work items assigned including requirement analysis, impact analysis and effort estimations. Identify, document, and track defects using appropriate tools and techniques. Verify defect fixes and ensure that software meets quality standards and acceptance criteria. Participate in requirement analysis and contribute to test planning and estimation activities. Support user acceptance testing and assist in troubleshooting issues reported by end-users. Continuously improve testing processes and methodologies to enhance efficiency and effectiveness. Proactive, Self-motivated and ability to work on his/her individual capacity. Effective reporting capabilities on daily/weekly status. Requirements: B.Tech/B.E in Computer Science, Information Technology, or related field/MCA. 6-8 years of experience in software testing, preferably in the insurance domain. Hand On experience in automation tools like Selenium (with Java), Rest Assured & Postman is a must. Should be able to create automation framework & should be able to implement an automation solution wherever required. Experience with test management tools & defect management tools like JIRA. Solid knowledge of software testing methodologies, techniques, and best practices. Hands on experience with XML and Database testing. Experience in Mobile Testing is an added advantage. Understanding of insurance industry processes, products, and regulations is good to have. Familiarity with Agile/Scrum methodologies and tools such as JIRA. Excellent analytical and problem-solving skills with a keen attention to detail. Strong communication and interpersonal skills, with the ability to collaborate effectively with cross-functional teams. Relevant certifications such as ISTQB Foundation Level or equivalent, CSM, Safe agile are a plus. Location: This position can be based in any of the following locations: Chennai Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday",Chennai,,2026-02-23,R000108730,,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Chennai/Automation-Quality-Lead-Engineer_R000108730-1
2026-02-27,,,,,,,,
2026-02-27,,,,,,,,
2026-02-27,"Senior Marketing Technology Engineer - (CDP, Martech, Salesforce, Adobe)","Overview Guardian Life is seeking a Senior Marketing Technology Engineer to help build, scale, and optimize Guardian’s Marketing Technology and field enablement ecosystem. This role will support enterprise‑scale marketing platforms including Salesforce Marketing Cloud (SFMC), Seismic, Adobe Experience Cloud, and Customer Data Platforms (CDP), enabling personalized, data‑driven engagement across digital channels. The ideal candidate brings deep MarTech expertise, strong data and integration skills, and a collaborative mindset to translate marketing strategy into scalable technology solutions. You Have (Qualifications) 8–10 years of hands‑on experience designing and delivering enterprise‑scale marketing technology solutions Hands‑on experience with at least one leading marketing platform such as Salesforce Marketing Cloud (SFMC), Seismic, or Adobe Experience Cloud (AEM, Campaign, or related tools), with the ability to quickly learn additional platforms Deep understanding of email and digital marketing technologies, including deliverability, domain and IP reputation, spam regulations, engagement metrics, personalization, and campaign optimization Strong knowledge of marketing data architecture, including data modeling, ingestion, transformation, mapping, subscriber/profile management, and identity resolution Experience working with Customer Data Platforms (e.g., Salesforce Data Cloud, Segment by Twilio, or similar), including unified customer profiles, segmentation, and orchestration Proven experience designing and supporting integrations, with a solid understanding of APIs, batch and real‑time data feeds, security, authentication, and error handling Strong analytical and data‑driven mindset, with experience leveraging campaign performance and engagement insights to inform marketing and technology decisions Understanding of AI‑driven marketing and agentic AI capabilities (automation, decisioning, personalization, optimization); hands‑on experience is a plus Ability to work effectively with onshore and offshore teams, providing technical leadership and ensuring high‑quality delivery Creative, collaborative, and solution‑oriented approach with the ability to partner across marketing, business, engineering, and vendor teams Strong commitment to governance, security, data privacy, consent management, and enterprise architectural standards You Will (Responsibilities) Build, enhance, and support marketing journeys, automation scripts, and scheduled jobs across MarTech platforms Design and implement scalable solutions across SFMC, Seismic, Adobe Experience Cloud, and CDP platforms Improve and maintain sending domain and sender reputation for large‑scale email campaigns, including SPF/DKIM/DMARC authentication, IP and domain warm‑up, list hygiene, deliverability monitoring, and complaint management Support customer profile unification, identity resolution, audience segmentation, and orchestration within CDP environments Design, implement, and support integrations between marketing platforms and enterprise systems Partner with marketing and business stakeholders to translate strategy into reliable, scalable technology solutions Provide technical guidance and oversight to distributed delivery teams Ensure solutions adhere to Guardian’s security, governance, compliance, and architectural best practices Location Hybrid – 3 days per week onsite at a Guardian location in Holmdel, NJ; Bethlehem, PA; or New York, NY Salary Range: $95,170.00 - $156,355.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",Holmdel,"Bethlehem, New York",2026-02-20,R000108611,Hybrid - In office 3 days per week,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Holmdel/Senior-Marketing-Technology-Engineer_R000108611
2026-02-27,,,,,,,,
2026-02-27,Senior Lead Engineer - IT,"Job Description: Job Description: Java Full Stack Lead (8–10 Years Experience) We are looking for a seasoned Java Full Stack Technical Lead with strong expertise in Spring Boot, Microservices, and Core Java, along with hands-on experience in building scalable, resilient, and high ‑ performance applications. The ideal candidate will lead a team of engineers, drive technical excellence, and ensure the successful delivery of complex solutions. In addition, front-end development experience is required , with a preference for ReactJS or AngularJS. The candidate will be expected to contribute to front-end development as a core part of their role. Experience with relational databases, CI/CD practices, and testing frameworks is essential. Exposure to AWS and modern DevOps methodologies is a strong advantage. Experience with event-driven architecture while working with platforms such as Kafka, SNS/SQS is also valuable. Key Responsibilities Technical Leadership: - Lead, manage, and mentor a team of Java developers while fostering a collaborative and high ‑ performance engineering culture. - Provide expert technical guidance on architecture, design patterns, coding standards, and best practices. Application Development: - Design, develop, and maintain Java-based applications using Spring Boot and Microservices architecture. - Build and optimize RESTful APIs for seamless service-to-service communication. - Apply object-oriented and design principles to ensure clean, modular, reusable code. - Develop and maintain front-end applications using ReactJS or AngularJS, working closely with UI/UX designers to deliver seamless user experiences. Database & Performance: - Develop and optimize database schemas and queries for MySQL and PostgreSQL. - Perform performance tuning, troubleshooting, and root cause analysis. Production Support: - Ability to debug, analytical skills, prod support. DevOps & CI/CD: - Build, manage, and optimize CI/CD pipelines using tools such as Jenkins, Git, and Maven/Gradle. - Collaborate closely with DevOps teams to support deployments and automation. Quality & Standards: - Oversee unit and integration testing using JUnit, Mockito, and related frameworks. - Conduct code reviews and ensure adherence to coding and architectural standards. - Stay informed about emerging technologies and drive continuous improvement within the team. Cross ‑ Functional Collaboration: - Work effectively with QA, DevOps, Product Management, and business stakeholders. - Ensure clear communication across teams and help refine requirements where needed. Required Skills & Qualifications - 8-10 years of professional development experience in java and front-end technologies. - Strong proficiency in Core Java (Collections, Multithreading, Exception Handling, Streams, etc.). - Hands-on experience with Spring Boot, Spring Cloud, and Microservices-based architecture. - Solid understanding of RESTful API design and implementation. Strong experience with MySQL and PostgreSQL databases. - Experience with front-end development using ReactJS or AngularJS. The candidate must be able to contribute to front-end coding, troubleshooting, and collaboration with UI/UX teams. - Proficiency in CI/CD tools — Jenkins, Git, Maven/Gradle. - Strong knowledge of JUnit, Mockito, and other testing frameworks. - Good understanding of software design principles and common design patterns. - Experience with AWS services (ECS, EKS, S3, RDS, Lambda) is a plus. - Leveraging AI productivity tools such as Github Co-pilot. - Excellent communication, leadership, and interpersonal skills. Leadership Competencies - Team Management: Ability to lead, mentor, and motivate developers to achieve project and organizational goals. - Stakeholder Communication: Skilled in communicating with product owners, BAs, and senior leadership. - Decision-Making: Ability to take informed and timely decisions on technical and project matters. - Conflict Resolution: Capable of resolving team conflicts constructively and fostering a positive work environment. Location: This position can be based in any of the following locations: Chennai Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday",Chennai,,2026-02-20,R000108712,,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Chennai/Senior-Lead-Engineer---IT_R000108712-1
2026-02-27,Lead Engineer - IT,"Job Description: About the Role We are seeking a highly skilled Java Developer with deep expertise in Spring Boot Microservices , strong Core Java fundamentals , and experience in building scalable, high-performance applications. The ideal candidate should have hands-on experience with relational databases, CI/CD pipelines, and testing frameworks. Knowledge of AWS and modern DevOps practices will be considered a strong advantage. Key Responsibilities Design, develop, and maintain Java-based applications using Spring Boot and Microservices architecture . Implement RESTful APIs and ensure seamless integration between services. Develop and optimize database schemas and queries for MySQL and PostgreSQL . Apply design patterns and object-oriented principles to create robust, reusable, and maintainable code. Build and maintain CI/CD pipelines using tools like Jenkins , Git , and Maven/Gradle . Write and execute unit tests and integration tests using JUnit , Mockito , and other testing frameworks. Collaborate with cross-functional teams including QA, DevOps, and Product Management. Participate in code reviews , performance tuning , and troubleshooting . Stay updated with emerging technologies and contribute to continuous improvement initiatives. Required Skills & Qualifications 5–8 years of professional experience in Java development. Strong proficiency in Core Java (Collections, Multithreading, Exception Handling, Streams, etc.). Hands-on experience with Spring Boot , Spring Cloud , and Microservices . Solid understanding of RESTful services and API design . Experience with MySQL and PostgreSQL databases. Strong knowledge of CI/CD pipelines (Jenkins, Git, Maven/Gradle). Proficiency in unit testing frameworks (JUnit, Mockito). Good understanding of design patterns and software development principles . Ability to think logically and solve complex problems. Familiarity with AWS services (EC2, S3, RDS, Lambda) is a plus. Excellent communication and collaboration skills. Location: This position can be based in any of the following locations: Chennai Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday",Chennai,,2026-02-18,R000108516,,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Chennai/Lead-Engineer---IT_R000108516
2026-02-27,Talent Transformation Consultant,"Do you thrive at the intersection of talent strategy, business partnership, and enterprise program excellence? Are you recognized as a subject-matter expert who brings depth, insight, and strategic perspective to complex talent challenges? If so, Guardian is seeking a Talent Consultant to serve as the strategic talent advisor to designated Lines of Business (LOBs). In this role, you will anticipate business needs, design and implement talent solutions tailored to unique LOB contexts, and shape enterprise talent programs that enable leaders to build high-performing, future-ready teams. You will operate with significant autonomy, influence senior stakeholders, and apply mastery-level expertise to solve complex issues with broad business impact. You are: A seasoned, strategic talent practitioner recognized for your thought leadership and ability to bring clarity to complexity. You are highly consultative, with the ability to understand business dynamics, anticipate needs, and influence senior leaders. You think “enterprise first” while adapting solutions to each business unit’s culture. You thrive in a role where you can innovate, lead complex initiatives, solve ambiguous problems, and serve as a trusted advisor across HR and the business. You have: Mastery-level knowledge in talent management, organizational effectiveness, or related domains 5–8+ years of progressive experience in talent, OE, HR business partnership, consulting, or similar fields Strong understanding of multiple HR job families and how they integrate to deliver cohesive talent solutions Proven experience advising senior leaders on complex or sensitive talent matters Demonstrated ability to anticipate business challenges and propose product, process, or practice improvements Strong consulting, facilitation, and persuasive communication skills, including conveying complex ideas to diverse audiences Seasoned project-management skills, with experience leading initiatives with significant scope, ambiguity, and risk Ability to lead through influence and drive adoption of new or evolving talent practices You will: Partner with the Line of Business (LOB)/Functional HR Talent Leaders and Partners to help identify, scope, and manage talent-related business needs and use cases around the transformation of work Conduct talent needs assessments and strategic workforce planning, forecasting future capabilities and aligning recommendations to LOB and enterprise strategies Implement enterprise talent programs while tailoring delivery to each LOB’s micro-culture and business context Develop outcomes and success metrics for talent initiatives and monitor progress in partnership with HRTPs and business stakeholders Anticipate internal and external talent trends and proactively recommend improvements to talent processes, products, or services Lead change management efforts, guiding leaders through adoption of new or modernized talent and development practices Synthesize and elevate feedback from LOBs to the T&OE team, informing continuous improvement and enterprise program evolution Propose strategic enhancements to enterprise talent solutions, improving usability, consistency, and business value Partner with CoE colleagues to support effective enterprise rollout and ongoing optimization of talent programs Reporting Relationships: As our Talent Transformation Consultant, you will report to the Head of Talent & Organizational Effectiveness. Location: Hybrid role - 3 days in Hudson Yards, NYC, or Stamford CT office. 2 days WFH. Travel to other Guardian offices as determined by the People Leader. Salary Range: $132,420.00 - $217,545.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",New York,Stamford,2026-02-17,R000108641,Hybrid - In office 3 days per week,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/New-York/Talent-Transformation-Consultant_R000108641
2026-02-27,,,,,,,,
